model,optimizer,learning_rate,batch_size,fold,accuracy,precision,recall,f1_score,confusion_matrix
lstm,adam,0.01,128,3,0.8575581395348837,0.8253968253968254,0.9069767441860463,0.8642659279778393,"[[139, 33], [16, 156]]"
lstm,adam,0.01,128,4,0.8372093023255814,0.7959183673469388,0.9069767441860463,0.8478260869565217,"[[132, 40], [16, 156]]"
lstm,adam,0.01,128,5,0.8575581395348837,0.8324324324324325,0.8953488372093024,0.8627450980392157,"[[141, 31], [18, 154]]"
lstm,adam,0.001,8,1,0.8691860465116279,0.8359788359788359,0.9186046511627908,0.8753462603878116,"[[141, 31], [14, 158]]"
lstm,adam,0.001,8,2,0.8575581395348837,0.8253968253968254,0.9069767441860463,0.8642659279778393,"[[139, 33], [16, 156]]"
lstm,adam,0.001,8,3,0.8546511627906976,0.8351648351648352,0.8837209302325582,0.8587570621468926,"[[142, 30], [20, 152]]"
lstm,adam,0.001,8,4,0.8691860465116279,0.8324607329842932,0.9244186046511628,0.8760330578512396,"[[140, 32], [13, 159]]"
lstm,adam,0.001,8,5,0.8691860465116279,0.839572192513369,0.9127906976744186,0.8746518105849582,"[[142, 30], [15, 157]]"
lstm,adam,0.001,16,1,0.8604651162790697,0.8263157894736842,0.9127906976744186,0.8674033149171271,"[[139, 33], [15, 157]]"
lstm,adam,0.001,16,2,0.8517441860465116,0.8201058201058201,0.9011627906976744,0.8587257617728532,"[[138, 34], [17, 155]]"
lstm,adam,0.001,16,3,0.8517441860465116,0.8306010928961749,0.8837209302325582,0.856338028169014,"[[141, 31], [20, 152]]"
lstm,adam,0.001,16,4,0.8546511627906976,0.8351648351648352,0.8837209302325582,0.8587570621468926,"[[142, 30], [20, 152]]"
lstm,adam,0.001,16,5,0.8517441860465116,0.827027027027027,0.8895348837209303,0.8571428571428571,"[[140, 32], [19, 153]]"
lstm,adam,0.001,32,1,0.8488372093023255,0.8333333333333334,0.872093023255814,0.8522727272727273,"[[142, 30], [22, 150]]"
lstm,adam,0.001,32,2,0.8343023255813954,0.8074866310160428,0.877906976744186,0.841225626740947,"[[136, 36], [21, 151]]"
lstm,adam,0.001,32,3,0.8604651162790697,0.8406593406593407,0.8895348837209303,0.864406779661017,"[[143, 29], [19, 153]]"
lstm,adam,0.001,32,4,0.8604651162790697,0.8369565217391305,0.8953488372093024,0.8651685393258427,"[[142, 30], [18, 154]]"
lstm,adam,0.001,32,5,0.8517441860465116,0.8235294117647058,0.8953488372093024,0.8579387186629527,"[[139, 33], [18, 154]]"
lstm,adam,0.001,64,1,0.8255813953488372,0.8010752688172043,0.8662790697674418,0.8324022346368715,"[[135, 37], [23, 149]]"
lstm,adam,0.001,64,2,0.8313953488372093,0.8,0.8837209302325582,0.8397790055248618,"[[134, 38], [20, 152]]"
lstm,adam,0.001,64,3,0.8401162790697675,0.8128342245989305,0.8837209302325582,0.8467966573816156,"[[137, 35], [20, 152]]"
lstm,adam,0.001,64,4,0.8517441860465116,0.8342541436464088,0.877906976744186,0.8555240793201133,"[[142, 30], [21, 151]]"
lstm,adam,0.001,64,5,0.8343023255813954,0.8042328042328042,0.8837209302325582,0.8421052631578947,"[[135, 37], [20, 152]]"
lstm,adam,0.001,128,1,0.8313953488372093,0.8,0.8837209302325582,0.8397790055248618,"[[134, 38], [20, 152]]"
lstm,adam,0.001,128,2,0.8284883720930233,0.7927461139896373,0.8895348837209303,0.8383561643835616,"[[132, 40], [19, 153]]"
lstm,adam,0.001,128,3,0.8313953488372093,0.8131868131868132,0.8604651162790697,0.8361581920903954,"[[138, 34], [24, 148]]"
lstm,adam,0.001,128,4,0.8459302325581395,0.84,0.8546511627906976,0.8472622478386167,"[[144, 28], [25, 147]]"
lstm,adam,0.001,128,5,0.8284883720930233,0.7897435897435897,0.8953488372093024,0.8392370572207084,"[[131, 41], [18, 154]]"
lstm,adam,0.0001,8,1,0.8226744186046512,0.7788944723618091,0.9011627906976744,0.8355795148247979,"[[128, 44], [17, 155]]"
lstm,adam,0.0001,8,2,0.8226744186046512,0.7875647668393783,0.8837209302325582,0.8328767123287671,"[[131, 41], [20, 152]]"
lstm,adam,0.0001,8,3,0.8313953488372093,0.8064516129032258,0.872093023255814,0.8379888268156425,"[[136, 36], [22, 150]]"
lstm,adam,0.0001,8,4,0.8401162790697675,0.8095238095238095,0.8895348837209303,0.8476454293628809,"[[136, 36], [19, 153]]"
lstm,adam,0.0001,8,5,0.8255813953488372,0.78,0.9069767441860463,0.8387096774193549,"[[128, 44], [16, 156]]"
lstm,adam,0.0001,16,1,0.8168604651162791,0.7684729064039408,0.9069767441860463,0.832,"[[125, 47], [16, 156]]"
lstm,adam,0.0001,16,2,0.811046511627907,0.8022598870056498,0.8255813953488372,0.8137535816618912,"[[137, 35], [30, 142]]"
lstm,adam,0.0001,16,3,0.7994186046511628,0.7942857142857143,0.8081395348837209,0.8011527377521613,"[[136, 36], [33, 139]]"
lstm,adam,0.0001,16,4,0.7877906976744186,0.7564766839378239,0.8488372093023255,0.8,"[[125, 47], [26, 146]]"
lstm,adam,0.0001,16,5,0.8313953488372093,0.8202247191011236,0.8488372093023255,0.8342857142857143,"[[140, 32], [26, 146]]"
lstm,adam,0.0001,32,1,0.7412790697674418,0.6828193832599119,0.9011627906976744,0.7769423558897243,"[[100, 72], [17, 155]]"
lstm,adam,0.0001,32,2,0.7383720930232558,0.6915887850467289,0.8604651162790697,0.7668393782383419,"[[106, 66], [24, 148]]"
lstm,adam,0.0001,32,3,0.7354651162790697,0.6866359447004609,0.8662790697674418,0.7660668380462725,"[[104, 68], [23, 149]]"
lstm,adam,0.0001,32,4,0.752906976744186,0.704225352112676,0.872093023255814,0.7792207792207793,"[[109, 63], [22, 150]]"
lstm,adam,0.0001,32,5,0.75,0.7047619047619048,0.8604651162790697,0.774869109947644,"[[110, 62], [24, 148]]"
lstm,adam,0.0001,64,1,0.7238372093023255,0.6757990867579908,0.8604651162790697,0.7570332480818415,"[[101, 71], [24, 148]]"
lstm,adam,0.0001,64,2,0.7180232558139535,0.6744186046511628,0.8430232558139535,0.7493540051679587,"[[102, 70], [27, 145]]"
lstm,adam,0.0001,64,3,0.7238372093023255,0.672645739910314,0.872093023255814,0.759493670886076,"[[99, 73], [22, 150]]"
lstm,adam,0.0001,64,4,0.7296511627906976,0.6787330316742082,0.872093023255814,0.7633587786259542,"[[101, 71], [22, 150]]"
lstm,adam,0.0001,64,5,0.7296511627906976,0.670995670995671,0.9011627906976744,0.7692307692307693,"[[96, 76], [17, 155]]"
lstm,adam,0.0001,128,1,0.7209302325581395,0.6743119266055045,0.8546511627906976,0.7538461538461538,"[[101, 71], [25, 147]]"
lstm,adam,0.0001,128,2,0.7151162790697675,0.6761904761904762,0.8255813953488372,0.743455497382199,"[[104, 68], [30, 142]]"
lstm,adam,0.0001,128,3,0.7093023255813954,0.6714285714285714,0.8197674418604651,0.7382198952879581,"[[103, 69], [31, 141]]"
lstm,adam,0.0001,128,4,0.7209302325581395,0.6711711711711712,0.8662790697674418,0.7563451776649747,"[[99, 73], [23, 149]]"
lstm,adam,0.0001,128,5,0.7063953488372093,0.6748768472906403,0.7965116279069767,0.7306666666666667,"[[106, 66], [35, 137]]"
lstm,adam,1e-05,8,1,0.7005813953488372,0.6716417910447762,0.7848837209302325,0.7238605898123325,"[[106, 66], [37, 135]]"
lstm,adam,1e-05,8,2,0.7093023255813954,0.6818181818181818,0.7848837209302325,0.7297297297297297,"[[109, 63], [37, 135]]"
lstm,adam,1e-05,8,3,0.7005813953488372,0.6589861751152074,0.8313953488372093,0.7352185089974294,"[[98, 74], [29, 143]]"
lstm,adam,1e-05,8,4,0.6976744186046512,0.6588785046728972,0.8197674418604651,0.7305699481865285,"[[99, 73], [31, 141]]"
lstm,adam,1e-05,8,5,0.6947674418604651,0.6634146341463415,0.7906976744186046,0.7214854111405835,"[[103, 69], [36, 136]]"
lstm,adam,1e-05,16,1,0.7238372093023255,0.7015706806282722,0.7790697674418605,0.7382920110192838,"[[115, 57], [38, 134]]"
lstm,adam,1e-05,16,2,0.688953488372093,0.6585365853658537,0.7848837209302325,0.7161803713527851,"[[102, 70], [37, 135]]"
lstm,adam,1e-05,16,3,0.7151162790697675,0.6907216494845361,0.7790697674418605,0.73224043715847,"[[112, 60], [38, 134]]"
lstm,adam,1e-05,16,4,0.7034883720930233,0.6635514018691588,0.8255813953488372,0.7357512953367875,"[[100, 72], [30, 142]]"
lstm,adam,1e-05,16,5,0.7122093023255814,0.6834170854271356,0.7906976744186046,0.7331536388140162,"[[109, 63], [36, 136]]"
lstm,adam,1e-05,32,1,0.7034883720930233,0.6881720430107527,0.7441860465116279,0.7150837988826816,"[[114, 58], [44, 128]]"
lstm,adam,1e-05,32,2,0.7093023255813954,0.6894736842105263,0.7616279069767442,0.7237569060773481,"[[113, 59], [41, 131]]"
lstm,adam,1e-05,32,3,0.7005813953488372,0.6751269035532995,0.7732558139534884,0.7208672086720868,"[[108, 64], [39, 133]]"
lstm,adam,1e-05,32,4,0.6947674418604651,0.6683417085427136,0.7732558139534884,0.7169811320754716,"[[106, 66], [39, 133]]"
lstm,adam,1e-05,32,5,0.6918604651162791,0.6666666666666666,0.7674418604651163,0.7135135135135136,"[[106, 66], [40, 132]]"
lstm,adam,1e-05,64,1,0.6715116279069767,0.6528497409326425,0.7325581395348837,0.6904109589041096,"[[105, 67], [46, 126]]"
lstm,adam,1e-05,64,2,0.688953488372093,0.6585365853658537,0.7848837209302325,0.7161803713527851,"[[102, 70], [37, 135]]"
lstm,adam,1e-05,64,3,0.6627906976744186,0.6428571428571429,0.7325581395348837,0.6847826086956522,"[[102, 70], [46, 126]]"
lstm,adam,1e-05,64,4,0.6744186046511628,0.6515151515151515,0.75,0.6972972972972973,"[[103, 69], [43, 129]]"
lstm,adam,1e-05,64,5,0.6715116279069767,0.6528497409326425,0.7325581395348837,0.6904109589041096,"[[105, 67], [46, 126]]"
lstm,adam,1e-05,128,1,0.6453488372093024,0.6329787234042553,0.6918604651162791,0.6611111111111111,"[[103, 69], [53, 119]]"
lstm,adam,1e-05,128,2,0.6511627906976745,0.6313131313131313,0.7267441860465116,0.6756756756756757,"[[99, 73], [47, 125]]"
lstm,adam,1e-05,128,3,0.6627906976744186,0.6538461538461539,0.6918604651162791,0.672316384180791,"[[109, 63], [53, 119]]"
lstm,adam,1e-05,128,4,0.6395348837209303,0.6176470588235294,0.7325581395348837,0.6702127659574468,"[[94, 78], [46, 126]]"
lstm,adam,1e-05,128,5,0.6569767441860465,0.6467391304347826,0.6918604651162791,0.6685393258426966,"[[107, 65], [53, 119]]"
lstm,sgd,0.01,8,1,0.7209302325581395,0.6623931623931624,0.9011627906976744,0.7635467980295566,"[[93, 79], [17, 155]]"
lstm,sgd,0.01,8,2,0.7558139534883721,0.7,0.8953488372093024,0.7857142857142857,"[[106, 66], [18, 154]]"
lstm,sgd,0.01,8,3,0.7296511627906976,0.670995670995671,0.9011627906976744,0.7692307692307693,"[[96, 76], [17, 155]]"
lstm,sgd,0.01,8,4,0.7441860465116279,0.6858407079646017,0.9011627906976744,0.7788944723618091,"[[101, 71], [17, 155]]"
lstm,sgd,0.01,8,5,0.7238372093023255,0.6652360515021459,0.9011627906976744,0.7654320987654321,"[[94, 78], [17, 155]]"
lstm,sgd,0.01,16,1,0.7093023255813954,0.6621621621621622,0.8546511627906976,0.7461928934010152,"[[97, 75], [25, 147]]"
lstm,sgd,0.01,16,2,0.6976744186046512,0.6588785046728972,0.8197674418604651,0.7305699481865285,"[[99, 73], [31, 141]]"
lstm,sgd,0.01,16,3,0.688953488372093,0.6525821596244131,0.8081395348837209,0.7220779220779221,"[[98, 74], [33, 139]]"
lstm,sgd,0.01,16,4,0.7034883720930233,0.6590909090909091,0.8430232558139535,0.7397959183673469,"[[97, 75], [27, 145]]"
lstm,sgd,0.01,16,5,0.7093023255813954,0.6565217391304348,0.877906976744186,0.7512437810945274,"[[93, 79], [21, 151]]"
lstm,sgd,0.01,32,1,0.688953488372093,0.6555023923444976,0.7965116279069767,0.7191601049868767,"[[100, 72], [35, 137]]"
lstm,sgd,0.01,32,2,0.688953488372093,0.6649746192893401,0.7616279069767442,0.7100271002710027,"[[106, 66], [41, 131]]"
lstm,sgd,0.01,32,3,0.686046511627907,0.6523809523809524,0.7965116279069767,0.7172774869109948,"[[99, 73], [35, 137]]"
lstm,sgd,0.01,32,4,0.6918604651162791,0.65,0.8313953488372093,0.7295918367346939,"[[95, 77], [29, 143]]"
lstm,sgd,0.01,32,5,0.6831395348837209,0.647887323943662,0.8023255813953488,0.7168831168831169,"[[97, 75], [34, 138]]"
lstm,sgd,0.01,64,1,0.6831395348837209,0.6615384615384615,0.75,0.7029972752043597,"[[106, 66], [43, 129]]"
lstm,sgd,0.01,64,2,0.6831395348837209,0.6551724137931034,0.7732558139534884,0.7093333333333334,"[[102, 70], [39, 133]]"
lstm,sgd,0.01,64,3,0.686046511627907,0.6523809523809524,0.7965116279069767,0.7172774869109948,"[[99, 73], [35, 137]]"
lstm,sgd,0.01,64,4,0.6773255813953488,0.6445497630331753,0.7906976744186046,0.7101827676240209,"[[97, 75], [36, 136]]"
lstm,sgd,0.01,64,5,0.688953488372093,0.6683937823834197,0.75,0.7068493150684931,"[[108, 64], [43, 129]]"
lstm,sgd,0.01,128,1,0.6715116279069767,0.6482412060301508,0.75,0.6954177897574124,"[[102, 70], [43, 129]]"
lstm,sgd,0.01,128,2,0.6627906976744186,0.6346153846153846,0.7674418604651163,0.6947368421052632,"[[96, 76], [40, 132]]"
lstm,sgd,0.01,128,3,0.6627906976744186,0.6333333333333333,0.7732558139534884,0.6963350785340314,"[[95, 77], [39, 133]]"
lstm,sgd,0.01,128,4,0.6656976744186046,0.6301369863013698,0.8023255813953488,0.7058823529411765,"[[91, 81], [34, 138]]"
lstm,sgd,0.01,128,5,0.6773255813953488,0.6564102564102564,0.7441860465116279,0.6975476839237057,"[[105, 67], [44, 128]]"
lstm,sgd,0.001,8,1,0.6715116279069767,0.6439024390243903,0.7674418604651163,0.7002652519893899,"[[99, 73], [40, 132]]"
lstm,sgd,0.001,8,2,0.686046511627907,0.6495327102803738,0.8081395348837209,0.7202072538860104,"[[97, 75], [33, 139]]"
lstm,sgd,0.001,8,3,0.688953488372093,0.6511627906976745,0.813953488372093,0.7235142118863049,"[[97, 75], [32, 140]]"
lstm,sgd,0.001,8,4,0.688953488372093,0.6649746192893401,0.7616279069767442,0.7100271002710027,"[[106, 66], [41, 131]]"
lstm,sgd,0.001,8,5,0.6831395348837209,0.6582914572864321,0.7616279069767442,0.706199460916442,"[[104, 68], [41, 131]]"
lstm,sgd,0.001,16,1,0.6656976744186046,0.6686390532544378,0.6569767441860465,0.6627565982404692,"[[116, 56], [59, 113]]"
lstm,sgd,0.001,16,2,0.6715116279069767,0.6577540106951871,0.7151162790697675,0.6852367688022284,"[[108, 64], [49, 123]]"
lstm,sgd,0.001,16,3,0.6802325581395349,0.6631578947368421,0.7325581395348837,0.6961325966850829,"[[108, 64], [46, 126]]"
lstm,sgd,0.001,16,4,0.6569767441860465,0.6336633663366337,0.7441860465116279,0.6844919786096256,"[[98, 74], [44, 128]]"
lstm,sgd,0.001,16,5,0.6569767441860465,0.640625,0.7151162790697675,0.6758241758241759,"[[103, 69], [49, 123]]"
lstm,sgd,0.001,32,1,0.6976744186046512,0.7073170731707317,0.6744186046511628,0.6904761904761905,"[[124, 48], [56, 116]]"
lstm,sgd,0.001,32,2,0.6918604651162791,0.6666666666666666,0.7674418604651163,0.7135135135135136,"[[106, 66], [40, 132]]"
lstm,sgd,0.001,32,3,0.6715116279069767,0.649746192893401,0.7441860465116279,0.6937669376693767,"[[103, 69], [44, 128]]"
lstm,sgd,0.001,32,4,0.6744186046511628,0.6456310679611651,0.7732558139534884,0.7037037037037037,"[[99, 73], [39, 133]]"
lstm,sgd,0.001,32,5,0.7034883720930233,0.6822916666666666,0.7616279069767442,0.7197802197802198,"[[111, 61], [41, 131]]"
lstm,sgd,0.001,64,1,0.7093023255813954,0.702247191011236,0.7267441860465116,0.7142857142857143,"[[119, 53], [47, 125]]"
lstm,sgd,0.001,64,2,0.6802325581395349,0.6490384615384616,0.7848837209302325,0.7105263157894737,"[[99, 73], [37, 135]]"
lstm,sgd,0.001,64,3,0.6918604651162791,0.8173076923076923,0.4941860465116279,0.6159420289855072,"[[153, 19], [87, 85]]"
lstm,sgd,0.001,64,4,0.6075581395348837,0.951219512195122,0.2267441860465116,0.3661971830985915,"[[170, 2], [133, 39]]"
lstm,sgd,0.001,64,5,0.6831395348837209,0.8181818181818182,0.4709302325581395,0.5977859778597786,"[[154, 18], [91, 81]]"
lstm,sgd,0.001,128,1,0.6133720930232558,0.5670103092783505,0.9593023255813954,0.712742980561555,"[[46, 126], [7, 165]]"
lstm,sgd,0.001,128,2,0.7151162790697675,0.7078651685393258,0.7325581395348837,0.72,"[[120, 52], [46, 126]]"
lstm,sgd,0.001,128,3,0.6715116279069767,0.6467661691542289,0.7558139534883721,0.6970509383378016,"[[101, 71], [42, 130]]"
lstm,sgd,0.001,128,4,0.5901162790697675,0.9428571428571428,0.191860465116279,0.3188405797101449,"[[170, 2], [139, 33]]"
lstm,sgd,0.001,128,5,0.5406976744186046,0.9375,0.0872093023255814,0.1595744680851064,"[[171, 1], [157, 15]]"
lstm,sgd,0.0001,8,1,0.7005813953488372,0.7090909090909091,0.6802325581395349,0.6943620178041543,"[[124, 48], [55, 117]]"
lstm,sgd,0.0001,8,2,0.7034883720930233,0.7364864864864865,0.6337209302325582,0.68125,"[[133, 39], [63, 109]]"
lstm,sgd,0.0001,8,3,0.6802325581395349,0.6519607843137255,0.7732558139534884,0.7074468085106383,"[[101, 71], [39, 133]]"
lstm,sgd,0.0001,8,4,0.6918604651162791,0.902439024390244,0.4302325581395348,0.5826771653543307,"[[164, 8], [98, 74]]"
lstm,sgd,0.0001,8,5,0.5174418604651163,1.0,0.0348837209302325,0.0674157303370786,"[[172, 0], [166, 6]]"
lstm,sgd,0.0001,16,1,0.7122093023255814,0.8924731182795699,0.4825581395348837,0.6264150943396226,"[[162, 10], [89, 83]]"
lstm,sgd,0.0001,16,2,0.7093023255813954,0.8829787234042553,0.4825581395348837,0.6240601503759399,"[[161, 11], [89, 83]]"
lstm,sgd,0.0001,16,3,0.6686046511627907,0.9393939393939394,0.3604651162790697,0.5210084033613446,"[[168, 4], [110, 62]]"
lstm,sgd,0.0001,16,4,0.5116279069767442,1.0,0.0232558139534883,0.0454545454545454,"[[172, 0], [168, 4]]"
lstm,sgd,0.0001,16,5,0.5843023255813954,0.9393939393939394,0.1802325581395348,0.3024390243902439,"[[170, 2], [141, 31]]"
lstm,sgd,0.0001,32,1,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,0.0001,32,2,0.5813953488372093,0.5443037974683544,1.0,0.7049180327868853,"[[28, 144], [0, 172]]"
lstm,sgd,0.0001,32,3,0.6773255813953488,0.6564102564102564,0.7441860465116279,0.6975476839237057,"[[105, 67], [44, 128]]"
lstm,sgd,0.0001,32,4,0.561046511627907,0.8888888888888888,0.1395348837209302,0.2412060301507537,"[[169, 3], [148, 24]]"
lstm,sgd,0.0001,32,5,0.6656976744186046,0.6338028169014085,0.7848837209302325,0.7012987012987013,"[[94, 78], [37, 135]]"
lstm,sgd,0.0001,64,1,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,0.0001,64,2,0.5319767441860465,0.7894736842105263,0.0872093023255814,0.1570680628272251,"[[168, 4], [157, 15]]"
lstm,sgd,0.0001,64,3,0.4970930232558139,0.0,0.0,0.0,"[[171, 1], [172, 0]]"
lstm,sgd,0.0001,64,4,0.5726744186046512,0.5391849529780565,1.0,0.7006109979633401,"[[25, 147], [0, 172]]"
lstm,sgd,0.0001,64,5,0.6831395348837209,0.8987341772151899,0.4127906976744186,0.5657370517928287,"[[164, 8], [101, 71]]"
lstm,sgd,0.0001,128,1,0.502906976744186,0.5014577259475219,1.0,0.6679611650485436,"[[1, 171], [0, 172]]"
lstm,sgd,0.0001,128,2,0.5087209302325582,0.5043988269794721,1.0,0.6705653021442495,"[[3, 169], [0, 172]]"
lstm,sgd,0.0001,128,3,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,sgd,0.0001,128,4,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,0.0001,128,5,0.6366279069767442,0.5975103734439834,0.8372093023255814,0.6973365617433414,"[[75, 97], [28, 144]]"
lstm,sgd,1e-05,8,1,0.622093023255814,0.5783582089552238,0.9011627906976744,0.7045454545454546,"[[59, 113], [17, 155]]"
lstm,sgd,1e-05,8,2,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,sgd,1e-05,8,3,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,8,4,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,8,5,0.6308139534883721,0.5778546712802768,0.9709302325581396,0.7245119305856833,"[[50, 122], [5, 167]]"
lstm,sgd,1e-05,16,1,0.6831395348837209,0.6465116279069767,0.8081395348837209,0.7183462532299741,"[[96, 76], [33, 139]]"
lstm,sgd,1e-05,16,2,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,16,3,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,16,4,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,16,5,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,sgd,1e-05,32,1,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,sgd,1e-05,32,2,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,32,3,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,sgd,1e-05,32,4,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,32,5,0.5901162790697675,0.7924528301886793,0.2441860465116279,0.3733333333333333,"[[161, 11], [130, 42]]"
lstm,sgd,1e-05,64,1,0.502906976744186,0.5014577259475219,1.0,0.6679611650485436,"[[1, 171], [0, 172]]"
lstm,sgd,1e-05,64,2,0.5,0.5,0.9825581395348836,0.6627450980392157,"[[3, 169], [3, 169]]"
lstm,sgd,1e-05,64,3,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,64,4,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,sgd,1e-05,64,5,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,sgd,1e-05,128,1,0.502906976744186,0.5014577259475219,1.0,0.6679611650485436,"[[1, 171], [0, 172]]"
lstm,sgd,1e-05,128,2,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,sgd,1e-05,128,3,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,sgd,1e-05,128,4,0.5174418604651163,0.5088757396449705,1.0,0.6745098039215687,"[[6, 166], [0, 172]]"
lstm,sgd,1e-05,128,5,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,rmsprop,0.01,8,1,0.8313953488372093,0.8166666666666667,0.8546511627906976,0.8352272727272727,"[[139, 33], [25, 147]]"
lstm,rmsprop,0.01,8,2,0.5,0.0,0.0,0.0,"[[172, 0], [172, 0]]"
lstm,rmsprop,0.01,8,3,0.8837209302325582,0.8793103448275862,0.8895348837209303,0.884393063583815,"[[151, 21], [19, 153]]"
lstm,rmsprop,0.01,8,4,0.8575581395348837,0.847457627118644,0.872093023255814,0.8595988538681948,"[[145, 27], [22, 150]]"
lstm,rmsprop,0.01,8,5,0.5,0.5,1.0,0.6666666666666666,"[[0, 172], [0, 172]]"
lstm,rmsprop,0.01,16,1,0.8604651162790697,0.8406593406593407,0.8895348837209303,0.864406779661017,"[[143, 29], [19, 153]]"
lstm,rmsprop,0.01,16,2,0.8575581395348837,0.8288770053475936,0.9011627906976744,0.8635097493036211,"[[140, 32], [17, 155]]"
lstm,rmsprop,0.01,16,3,0.8488372093023255,0.8125,0.9069767441860463,0.8571428571428571,"[[136, 36], [16, 156]]"
lstm,rmsprop,0.01,16,4,0.8313953488372093,0.8031914893617021,0.877906976744186,0.8388888888888889,"[[135, 37], [21, 151]]"
lstm,rmsprop,0.01,16,5,0.811046511627907,0.7715736040609137,0.8837209302325582,0.8238482384823849,"[[127, 45], [20, 152]]"
